[ 2025-03-29 22:45:00,937 ] 162 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-03-29 22:45:05,444 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-03-29 22:45:05,461 ] 107 dagshub - INFO - Accessing as pbdevelopes
[ 2025-03-29 22:45:06,193 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/pbdevelopes/network_security "HTTP/1.1 200 OK"
[ 2025-03-29 22:45:06,808 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-03-29 22:45:06,820 ] 107 dagshub - INFO - Initialized MLflow to track repo "pbdevelopes/network_security"
[ 2025-03-29 22:45:06,847 ] 107 dagshub - INFO - Repository pbdevelopes/network_security initialized!
[ 2025-03-29 22:45:06,848 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-29 22:45:52,352 ] 61 root - INFO - Performed train test split on the dataframe
[ 2025-03-29 22:45:52,352 ] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-29 22:45:52,353 ] 68 root - INFO - Exporting train and test file path.
[ 2025-03-29 22:45:52,407 ] 72 root - INFO - Exported train and test file path.
[ 2025-03-29 22:45:52,408 ] 19 root - INFO - Data Initiation Completed
[ 2025-03-29 22:45:52,413 ] 24 root - INFO - Initiate the data validation
[ 2025-03-29 22:45:52,441 ] 32 root - INFO - Required number of columns is: 2
[ 2025-03-29 22:45:52,442 ] 33 root - INFO - Dataframe has columns: 31
[ 2025-03-29 22:45:52,442 ] 32 root - INFO - Required number of columns is: 2
[ 2025-03-29 22:45:52,442 ] 33 root - INFO - Dataframe has columns: 31
[ 2025-03-29 22:45:52,589 ] 26 root - INFO - Data validation Completed
[ 2025-03-29 22:45:52,590 ] 29 root - INFO - Data Transformation Started
[ 2025-03-29 22:45:52,590 ] 43 root - INFO - Entered initiate_data_transformation method of DT class
[ 2025-03-29 22:45:52,590 ] 45 root - INFO - Started Data Transformation
[ 2025-03-29 22:45:52,621 ] 32 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-03-29 22:45:52,621 ] 35 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-29 22:45:52,661 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-29 22:45:52,666 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-29 22:45:52,666 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-29 22:45:52,672 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-29 22:45:52,673 ] 33 root - INFO - Data Transformation Completed
[ 2025-03-29 22:45:52,673 ] 36 root - INFO - Model Training started
[ 2025-03-29 22:51:21,944 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-29 22:51:21,951 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-29 22:51:21,951 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-29 22:51:22,035 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-29 22:51:22,035 ] 120 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_29_2025_22_45_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910678034916768, precision_score=0.9884592022676655, recall_score=0.993690209647873), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9764094362255098, precision_score=0.9713603818615751, recall_score=0.9815112540192926))
[ 2025-03-29 22:51:22,039 ] 40 root - INFO - Model Training artifact created
