[ 2025-03-29 19:31:53,582 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-29 19:32:13,441 ] 61 root - INFO - Performed train test split on the dataframe
[ 2025-03-29 19:32:13,441 ] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-29 19:32:13,466 ] 68 root - INFO - Exporting train and test file path.
[ 2025-03-29 19:32:13,529 ] 72 root - INFO - Exported train and test file path.
[ 2025-03-29 19:32:13,529 ] 19 root - INFO - Data Initiation Completed
[ 2025-03-29 19:32:13,537 ] 24 root - INFO - Initiate the data validation
[ 2025-03-29 19:32:13,563 ] 32 root - INFO - Required number of columns is: 2
[ 2025-03-29 19:32:13,564 ] 33 root - INFO - Dataframe has columns: 31
[ 2025-03-29 19:32:13,564 ] 32 root - INFO - Required number of columns is: 2
[ 2025-03-29 19:32:13,564 ] 33 root - INFO - Dataframe has columns: 31
[ 2025-03-29 19:32:13,722 ] 26 root - INFO - Data validation Completed
[ 2025-03-29 19:32:13,723 ] 29 root - INFO - Data Transformation Started
[ 2025-03-29 19:32:13,723 ] 43 root - INFO - Entered initiate_data_transformation method of DT class
[ 2025-03-29 19:32:13,723 ] 45 root - INFO - Started Data Transformation
[ 2025-03-29 19:32:13,752 ] 32 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-03-29 19:32:13,752 ] 35 root - INFO - Initialized KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-29 19:32:13,769 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-29 19:32:13,773 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-29 19:32:13,774 ] 33 root - INFO - Data Transformation Completed
[ 2025-03-29 19:32:13,775 ] 36 root - INFO - Model Training started
[ 2025-03-29 19:35:44,444 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-29 19:35:44,446 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-29 19:35:44,447 ] 91 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_29_2025_19_31_50\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917774845193381, precision_score=0.988266235079911, recall_score=0.9953137734311328), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9733598409542743, precision_score=0.966824644549763, recall_score=0.9799839871897518))
[ 2025-03-29 19:35:44,455 ] 40 root - INFO - Model Training artifact created
